NUMBER	GLOSS	ORTH_NEEDHAM	PHON_NEEDHAM	ROMAN_MODERN	PHON_MODERN	ORTH_MODERN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
202	sharp	â´thî	ɑ.tʰi	v.httuiyx	ə₀t̪ʰɨi₂	𖩸.𖪸𖪏𖪇		1396	SHARP
203	shoot, v	gâp	gɑp	ghap	ɣap₄	𖪷𖩴𖪧		1172	SHOOT
204	similar (alike)	âdam, dam	ɑ.dʌm, dʌm	v.dvmz., dvmz	ə₀dɐm₁, dɐm₁	𖩸.𖪱𖩸𖪫., 𖪱𖩸𖪫		1558	SIMILAR
205	sing, v	â´shir	ɑ.ʃɪr	shic	ʃi₃ (song)	𖪴𖪁		1261	SING
206	sit down, v	nong	nɒŋ	ngvungc	ŋɐuŋ₃	𖪣𖩹𖪅𖪐		1649	SIT DOWN
207	skin	â´krü	ɑ.kry	shuix	kʰɨ₂	𖪴𖪏	phonetic palatalisation from Needham's speaker	763	SKIN
208	sky	rong	rɒŋ	rvungx	rɐuŋ₂	𖪲𖩻𖪇𖪐		1732	SKY
209	slave	dâ	dɑ	dax	da₂	𖪱𖩷		812	SLAVE
210	slippery	ân´yâr	ɑn.jɑr	v.nyelz	ə₀ɲel₁	𖩸.𖪨𖩼𖪮	incorrect syllabification	3702	SLIPPERY
211	sleep, v	voil	βɒɪl	wovlc	βoɐl₃	𖪦𖩱𖩹𖪮	to lie down, not to sleep	215	LIE DOWN
212	small	â-phûn´sâ	ɑ.pʰun.sɑ	v.phuinc saz	ə₀pʰɨn₃ sa₁	𖩸.𖪩𖪍𖪬 𖪤𖩴		1246	SMALL
213	smell	â´thing	ɑ.tʰɪŋ	thuingx	t̪ɨŋ₂	𖪹𖪏𖪐		3704	ODOR (SMELL)
214	smoke	varrkrû	βʌr.kru	wvrz.khuiuq	βɐr₁kʰɨuʔ₄	𖪦𖩸𖪲.𖪡𖪚		778	SMOKE (EXHAUST)
215	snake	pû	pu	puiuc	pɨu₃	𖪧𖪙		730	SNAKE
216	snow	thik´hek	tʰɪk.hɛk	tsik.hek	ʦɨk₄hek₄	𖪶𖪀𖪠.𖪭𖩼𖪠		784	SNOW
217	son	mî´vâshâ, mî´vâshâṉ	mi.βɑ.ʃɑ, mi.βɑ.ʃɑ̃	miq.waz.saz	miʔ₄βa₁sa₁	𖪫𖪂.𖪦𖩴.𖪤𖩴		1620	SON
218	sow, v	win	wɪn	wuinc	βɨn₃	𖪦𖪍𖪬		1486	PLANT (SOMETHING)
219	spear	pâ	pɑˀ	paq	paʔ₄	𖪧𖩶		945	SPEAR
220	spark	varrpü	βʌr.py	wvrz.puic	βɐr₁pɨ₃	𖪦𖩸𖪲.𖪧𖪍		518	SPARK
221	spirit (evil)	thâng, thâung	tʰɑŋ, tʰɑuŋ	thvungc	tʰɐuŋ₃	𖪹𖩹𖪅𖪐		1175	GHOST
222	stand	châp	ʧʰɑp	jvp	ʨɐp₄	𖪵𖩸𖪧		1442	STAND
223	star	rî´sî	ri.si	ruiyz.suiyq	rɨi₁sɨiʔ₄	𖪲𖪌𖪀.𖪤𖪌𖪂		1430	STAR
224	stay, v	gal	gʌl	ghuilc	ɣɨl₃	𖪷𖪍𖪮		987	REMAIN
225	stead	â´gû, â´grû	ɑ.gu, ɑ.gru	v.ghuez	ə₀ɣɤ₁		Needhams meaning is unclear, but likely meant "to lack"	2329	LACK (NOT HAVE)
226	stone	lûng	luŋ	lungz	luŋ₁	𖪮𖪄𖪐		857	STONE
227	sun	rong´shârr	rɒŋ.ʃɑr	rvungx.shalx	rɐuŋ₂ʃal₂	𖪲𖩻𖪇𖪐.𖪴𖩷𖪮		1343	SUN
228	tail	â´mî	ɑ.mi	v.miz	ə₀mi₁	𖩸.𖪫𖪀		1220	TAIL
229	take, v	lam´van	lʌm.βʌn	lvmc wvnc., lvmz wvnc	lɐm₃ βɐn₃, lɐm₁ βɐn₃	𖪮𖩹𖪫 𖪦𖩹𖪬., 𖪮𖩸𖪫 𖪦𖩹𖪬		1749	TAKE
230	that	ka´rau, ka´rü	kʌ.rɒu̯, kʌ.ry	kv.ruex	kə₀rɤ₂	𖪠𖩸.𖪲𖪗		78	THAT
231	them or they	thing´shî	tʰɪŋ.ʃi	tsuingc.shiq	ʦɨŋ₃ʃiʔ₄	𖪶𖪍𖪐.𖪴𖪂		817	THEY
232	there	ga´nü	gʌ.ny	kv.nuex	kə₀nɤ₂	𖪠𖩸.𖪬𖪗		1937	THERE
233	thief	â´grûwâ	ɑ.gru.wɑ	v.ghuiuq.waz	ə₀ɣɨuʔ₄βa₁	𖩸.𖪷𖪚.𖪦𖩴		1160	THIEF
234	thin (not thick)	â´vâr	ɑ.βɑr	v.warx	ə₀βar₂	𖩸.𖪦𖩷𖪲		2306	THIN (OF LEAF AND CLOTH)
235	thin (not thick)	â´gü	ɑ.gy	--	--	--		2306	THIN (OF LEAF AND CLOTH)
236	thin (not fat)	â´rê´âṉ	ɑ.re.ɑ̃	v.rex	ə₀re₂	𖩸𖪲𖩿		1400	THIN (SLIM)
237	this	â´rau, â´rü	ɑ.rɒu̯, ɑ.ry	v.ruex	ə₀rɤ₂	𖩸.𖪲𖪗		1214	THIS
238	thorn	shû	ʃu	shuiuq	ʃɨuʔ₄	𖪴𖪚		124	THORN
239	thumb	yok´shî	jɒk.ʃi	yvuk.shix	ʒɐuk₄ʃi₂	𖪥𖩸𖪄𖪠.𖪴𖪃	simply finger, not thumb which would be /ʒɐuk₄ʃi₂kɨu₂/	1303	FINGER
240	thunder	rong´mûk	rɒŋ.muk	rvungx.muk	rɐuŋ₂muk₄	𖪲𖩻𖪇𖪐.𖪫𖪄𖪠		1150	THUNDER
241	tiger	châ	ʧʰɑˀ	jaq	ʨaʔ₄	𖪵𖩶		846	TIGER
242	tobacco	nyâ	ɲɑ	nyac	ɲa₃	𖪨𖩵		974	TOBACCO
243	toe	yâ´shî	jɑ.ʃi	yaz.shix	ʒa₁ʃi₂	𖪥𖩴.𖪴𖪃		1389	TOE
244	tongue	la´lî	lʌ.li	tv.lix	tə₀li₂	𖪰𖩸.𖪮𖪃		1205	TONGUE
245	tooth	vâ	βɑ	wac	βa₃	𖪦𖩵		1380	TOOTH
246	touch wood	mü	my	--	--	--			
247	track, v	yür	jyr	yurc	ʒur₃	𖪥𖪅𖪲	to chase, not to track		
248	true	â´sing	ɑ.sɪŋ	v.suingz	ə₀sɨŋ₁	𖩸.𖪤𖪌𖪐		1657	TRUE
249	tree	pûl	pul	pulx	pul₂	𖪧𖪇𖪮		906	TREE
250	uncle	î´vong	i.βɒŋ	v.wvungx	ə₀βɐuŋ₂	𖩸.𖪦𖩻𖪇𖪐	paternal uncle. maternal is /ɣu₁/	1985	PATERNAL UNCLE (FATHER'S BROTHER)
251	unripe	â´thing	ɑ.tʰɪŋ	v.httuingx	ə₀t̪ʰɨŋ₂	𖩸.𖪸𖪏𖪐		1958	UNRIPE
252	village	kî´aṉ	ki.ʌ̃	kez	ke₁	𖪠𖩼	more commonly /ɣaʔ₄ʃuŋ₃/ today	930	VILLAGE
253	war	râ´lûng	rɑ.luŋ	rvlungc., rvkhvt	rə₀luŋ₃, rə₀kʰɐt₄	𖪲𖪒𖪮𖪅𖪐., 𖪲𖪒𖪡𖩸𖪰		935	WAR
254	what?	yam´lû	jʌm.lu	yvmx.lix	ʒəm₂li₂	𖪥𖩻𖪫.𖪬𖪗		1236	WHAT
255	where	m´jû´lâ	m.ʧu.lɑ	mz.yuq.lac	m₁ʒuʔ₄la₃	𖪜.𖪥𖪆.𖪮𖩵		1237	WHERE
256	white	â´lü	ɑ.ly	luiz	ə₀lɨ₁	𖩸.𖪮𖪌		1335	WHITE
257	who?	u´lâ	u.lɑ	uz.lac	u₁la₃	𖪄.𖪮𖩵		1235	WHO
258	why?	kham´lâ	kʰʌm.lɑ	khvmc lac	kʰɐm₃ la₃	𖪡𖩹𖪫 𖪮𖩵		1270	WHY
259	wing	wûrong	wu.rɒŋ	wuz.rvungx	βu₁rɐuŋ₂	𖪦𖪄.𖪲𖩻𖪇𖪐		1257	WING
260	worm	chil´bâ	ʧʰɪl.bɑ	jvlx.baz	ʨɐl₂ba₁	𖪵𖩻𖪮.𖪪𖩴		1219	WORM
261	yesterday	ma´yâ	mʌ.jɑ	mz.yac	m₁ʒa₃	𖪜.𖪥𖩵		1174	YESTERDAY
262	you	m´nang	m.nʌŋ	mz.nvungz	m₁nɐuŋ₁	𖪜.𖪬𖩸𖪄𖪐		1215	THOU
263	young man	yâ´rôwâ	jɑ.ro.wɑ	yalx.rox.waz	ʒal₂ro₂βa₁	𖪥𖩷𖪮.𖪲𖩳.𖪦𖩴		76	YOUNG MAN
264	young woman	yâr´tû	jɑr.tu	yalx.tux	ʒal₂tu₂	𖪥𖩷𖪮.𖪰𖪇		77	YOUNG WOMAN
