Grapheme	IPA	Examples	Languages	Frequence	Codepoints
ʌ	ʌ	tʌ.wʌt, lʌm.βʌn	MuishaungNeedham	60	U+028c
ʌ̃$	ʌ̃	ki.ʌ̃, wu.ʃʌn.ʧʰiʌ̃	MuishaungNeedham	2	U+028c U+0303 U+0024
ʒ	ʒ	m₁ʒuʔ₄la₃, m₁ʒa₃	MuishaungModern	6	U+0292
ʔ	ʔ	ka₁loʔ₄, paʔ₄	MuishaungModern	27	U+0294
ʧ	tʃ	m.ʧu.lɑ, ɑ.ʧɑl	MuishaungNeedham	2	U+02a7
ʧʰ	tʃʰ	nɑ.ʧʰi, ɑ.ʧʰɑn	MuishaungNeedham	5	U+02a7 U+02b0
ʨ	tɕ	ʒal₂ʨɨk₄sa₁, na₃ʨi₃	MuishaungModern	8	U+02a8
β	β	mi.βɑ.ʃɑ̃, ə₀βar₂	MuishaungModern, MuishaungNeedham	21	U+03b2
ẽ$	ẽ	kʰẽ	MuishaungNeedham	1	U+1ebd U+0024
₀	₀/⁰	ə₀t̪ə₀rɐuŋ₂, ə₀re₂	MuishaungModern	60	U+2080
₀_	₀/⁰ +				
₁	₁/³¹ +	βu₁ti₁, ʦəm₁tap₄	MuishaungModern	30	U+2081
₁$	₁/³¹	lu₁, ʒal₂ʨɨk₄sa₁	MuishaungModern	77	U+2081 U+0024
₁_	₁/³¹ +				
₂	₂/²³¹ +	li₂kɔ₂ βa₁, ʒal₂ro₂βa₁	MuishaungModern	40	U+2082
₂$	₂/²³¹	ʒɐuk₄ʃi₂, rɐuŋ₂	MuishaungModern	83		U+2082 U+0024
₂_	₂/²³¹ +				
₃	₃/³³ +	ʦɨŋ₃ʃiʔ₄, ʒa₃pi₂	MuishaungModern	12	U+2083
₃$	₃/³³	ʒɐuk₄t̪ʰɨn₃, ə₀pɐuŋ₃	MuishaungModern	45	U+2083 U+0024
₃_	₃/³³ +				
₄	₄/⁵⁵ +	ʒɐuk₄t̪ʰɨn₃, ʒɐuk₄ʃi₂	MuishaungModern	26	U+2084
₄_	₄/⁵⁵ +				
₄$	₄/⁵⁵	ɣap₄, ʨak₄	MuishaungModern	58	U+2084 U+0024
₃_$	₃/³³				
