NUMBER	GLOSS	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
174	old		2112	OLD (AGED)
175	old man		406	OLD MAN
176	old woman		907	OLD WOMAN
177	petticoat			
178	woman's chudder			
179	pig		1337	PIG
180	pipe		2956	TUBE
181	place or put, v		998	PUT
182	poison	posion gathered from leaves and put on arrows. not fish poison.	655	POISON
183	post		281	POST
184	plantain		399	PLANTAIN
185	rice		3289	UNCOOKED RICE
186	cooked rice		1191	COOKED RICE
187	rain		2108	RAINING OR RAIN
188	red		156	RED
189	ring		1374	RING
190	ripe		178	RIPE
191	river, also water		666	RIVER
192	road		2457	PATH OR ROAD
193	roof of house	covering the roof beams. roof today is /βu₂kʰu₂/	769	ROOF
194	run		1519	RUN
195	salt		1274	SALT
196	sand	gravel or sand at the bank of a river	671	SAND
197	see, v		1409	SEE
198	seek, v		1468	LOOK FOR
199	seize, v		855	SEIZE
200	sell, v		1571	SELL
201	send, v		1127	SEND
202	sharp		1396	SHARP
203	shoot, v		1172	SHOOT
204	similar (alike)		1558	SIMILAR
205	sing, v		1261	SING
206	sit down, v		1649	SIT DOWN
207	skin	phonetic palatalisation from Needham's speaker	763	SKIN
208	sky		1732	SKY
209	slave		812	SLAVE
210	slippery	incorrect syllabification	3702	SLIPPERY
211	sleep, v	to lie down, not to sleep	215	LIE DOWN
212	small		1246	SMALL
213	smell		3704	ODOR (SMELL)
214	smoke		778	SMOKE (EXHAUST)
215	snake		730	SNAKE
216	snow		784	SNOW
217	son		1620	SON
218	sow, v		1486	PLANT (SOMETHING)
219	spear		945	SPEAR
220	spark		518	SPARK
221	spirit (evil)		1175	GHOST
222	stand		1442	STAND
223	star		1430	STAR
224	stay, v		987	REMAIN
225	stead	Needhams meaning is unclear, but likely meant "to lack"	2329	LACK (NOT HAVE)
226	stone		857	STONE
227	sun		1343	SUN
228	tail		1220	TAIL
229	take, v		1749	TAKE
230	that		78	THAT
231	them or they		817	THEY
232	there		1937	THERE
233	thief		1160	THIEF
234	thin (not thick)		2306	THIN (OF LEAF AND CLOTH)
235	thin (not thick)		2306	THIN (OF LEAF AND CLOTH)
236	thin (not fat)		1400	THIN (SLIM)
237	this		1214	THIS
238	thorn		124	THORN
239	thumb	simply finger, not thumb which would be /ʒɐuk₄ʃi₂kɨu₂/	1303	FINGER
240	thunder		1150	THUNDER
241	tiger		846	TIGER
242	tobacco		974	TOBACCO
243	toe		1389	TOE
244	tongue		1205	TONGUE
245	tooth		1380	TOOTH
246	touch wood			
247	track, v	to chase, not to track		
248	true		1657	TRUE
249	tree		906	TREE
