ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Orthographic_Entry,Attestation
MuishaungModern-229_takev-2,,MuishaungModern,229_takev,"lɐm₃ βɐn₃, lɐm₁ βɐn₃",lɐm₁_βɐn₃,l ɐ m ₁/³¹ + β ɐ n ₃/³³,,VanDam2025,,,^l ɐ m ₁_ β ɐ n ₃$,default,"lvmc wvnc., lvmz wvnc",2024
MuishaungNeedham-230_that-1,,MuishaungNeedham,230_that,"kʌ.rɒu̯, kʌ.ry",kʌ.rɒu̯,k ʌ + r ɒu̯,,Needham1897,,,^k ʌ . r ɒu̯ $,default,"ka´rau, ka´rü",1897
MuishaungNeedham-230_that-2,,MuishaungNeedham,230_that,"kʌ.rɒu̯, kʌ.ry",kʌ.ry,k ʌ + r y,,Needham1897,,,^k ʌ . r y$,default,"ka´rau, ka´rü",1897
MuishaungModern-230_that-1,,MuishaungModern,230_that,kə₀rɤ₂,kə₀rɤ₂,k ə ₀/⁰ r ɤ ₂/²³¹,,VanDam2025,,,^k ə ₀ r ɤ ₂$,default,kv.ruex,2024
MuishaungNeedham-231_themorthey-1,,MuishaungNeedham,231_themorthey,tʰɪŋ.ʃi,tʰɪŋ.ʃi,tʰ ɪ ŋ + ʃ i,,Needham1897,,,^tʰ ɪ ŋ . ʃ i$,default,thing´shî,1897
MuishaungModern-231_themorthey-1,,MuishaungModern,231_themorthey,ʦɨŋ₃ʃiʔ₄,ʦɨŋ₃ʃiʔ₄,ts ɨ ŋ ₃/³³ + ʃ i ʔ ₄/⁵⁵,,VanDam2025,,,^ʦ ɨ ŋ ₃ ʃ i ʔ ₄$,default,tsuingc.shiq,2024
MuishaungNeedham-232_there-1,,MuishaungNeedham,232_there,gʌ.ny,gʌ.ny,g ʌ + n y,,Needham1897,,,^g ʌ . n y$,default,ga´nü,1897
MuishaungModern-232_there-1,,MuishaungModern,232_there,kə₀nɤ₂,kə₀nɤ₂,k ə ₀/⁰ n ɤ ₂/²³¹,,VanDam2025,,,^k ə ₀ n ɤ ₂$,default,kv.nuex,2024
MuishaungNeedham-233_thief-1,,MuishaungNeedham,233_thief,ɑ.gru.wɑ,ɑ.gru.wɑ,ɑ + g r u + w ɑ,,Needham1897,,,^ɑ . g r u . w ɑ$,default,â´grûwâ,1897
MuishaungModern-233_thief-1,,MuishaungModern,233_thief,ə₀ɣɨuʔ₄βa₁,ə₀ɣɨuʔ₄βa₁,ə ₀/⁰ ɣ ɨu ʔ ₄/⁵⁵ + β a ₁/³¹,,VanDam2025,,,^ə ₀ ɣ ɨu ʔ ₄ β a ₁$,default,v.ghuiuq.waz,2024
MuishaungNeedham-234_thinnotthick-1,,MuishaungNeedham,234_thinnotthick,ɑ.βɑr,ɑ.βɑr,ɑ + β ɑ r,,Needham1897,,,^ɑ . β ɑ r$,default,â´vâr,1897
MuishaungModern-234_thinnotthick-1,,MuishaungModern,234_thinnotthick,ə₀βar₂,ə₀βar₂,ə ₀/⁰ β a r ₂/²³¹,,VanDam2025,,,^ə ₀ β a r ₂$,default,v.warx,2024
MuishaungNeedham-235_thinnotthick-1,,MuishaungNeedham,235_thinnotthick,ɑ.gy,ɑ.gy,ɑ + g y,,Needham1897,,,^ɑ . g y$,default,â´gü,1897
MuishaungNeedham-236_thinnotfat-1,,MuishaungNeedham,236_thinnotfat,ɑ.re.ɑ̃,ɑ.re.ɑ̃,ɑ + r e + ɑ̃,,Needham1897,,,^ɑ . r e . ɑ̃$,default,â´rê´âṉ,1897
MuishaungModern-236_thinnotfat-1,,MuishaungModern,236_thinnotfat,ə₀re₂,ə₀re₂,ə ₀/⁰ r e ₂/²³¹,,VanDam2025,,,^ə ₀ r e ₂$,default,v.rex,2024
MuishaungNeedham-237_this-1,,MuishaungNeedham,237_this,"ɑ.rɒu̯, ɑ.ry",ɑ.rɒu̯,ɑ + r ɒu̯,,Needham1897,,,^ɑ . r ɒu̯ $,default,"â´rau, â´rü",1897
MuishaungNeedham-237_this-2,,MuishaungNeedham,237_this,"ɑ.rɒu̯, ɑ.ry",ɑ.ry,ɑ + r y,,Needham1897,,,^ɑ . r y$,default,"â´rau, â´rü",1897
MuishaungModern-237_this-1,,MuishaungModern,237_this,ə₀rɤ₂,ə₀rɤ₂,ə ₀/⁰ r ɤ ₂/²³¹,,VanDam2025,,,^ə ₀ r ɤ ₂$,default,v.ruex,2024
MuishaungNeedham-238_thorn-1,,MuishaungNeedham,238_thorn,ʃu,ʃu,ʃ u,,Needham1897,,,^ʃ u$,default,shû,1897
MuishaungModern-238_thorn-1,,MuishaungModern,238_thorn,ʃɨuʔ₄,ʃɨuʔ₄,ʃ ɨu ʔ ₄/⁵⁵,,VanDam2025,,,^ʃ ɨu ʔ ₄$,default,shuiuq,2024
MuishaungNeedham-239_thumb-1,,MuishaungNeedham,239_thumb,jɒk.ʃi,jɒk.ʃi,j ɒ k + ʃ i,,Needham1897,,,^j ɒ k . ʃ i$,default,yok´shî,1897
MuishaungModern-239_thumb-1,,MuishaungModern,239_thumb,ʒɐuk₄ʃi₂,ʒɐuk₄ʃi₂,ʒ ɐu k ₄/⁵⁵ + ʃ i ₂/²³¹,,VanDam2025,,,^ʒ ɐu k ₄ ʃ i ₂$,default,yvuk.shix,2024
MuishaungNeedham-240_thunder-1,,MuishaungNeedham,240_thunder,rɒŋ.muk,rɒŋ.muk,r ɒ ŋ + m u k,,Needham1897,,,^r ɒ ŋ . m u k$,default,rong´mûk,1897
MuishaungModern-240_thunder-1,,MuishaungModern,240_thunder,rɐuŋ₂muk₄,rɐuŋ₂muk₄,r ɐu ŋ ₂/²³¹ + m u k ₄/⁵⁵,,VanDam2025,,,^r ɐu ŋ ₂ m u k ₄$,default,rvungx.muk,2024
MuishaungNeedham-241_tiger-1,,MuishaungNeedham,241_tiger,ʧʰɑˀ,ʧʰɑˀ,tʃʰ ɑˀ,,Needham1897,,,^ʧʰ ɑˀ$,default,châ,1897
MuishaungModern-241_tiger-1,,MuishaungModern,241_tiger,ʨaʔ₄,ʨaʔ₄,tɕ a ʔ ₄/⁵⁵,,VanDam2025,,,^ʨ a ʔ ₄$,default,jaq,2024
MuishaungNeedham-242_tobacco-1,,MuishaungNeedham,242_tobacco,ɲɑ,ɲɑ,ɲ ɑ,,Needham1897,,,^ɲ ɑ$,default,nyâ,1897
MuishaungModern-242_tobacco-1,,MuishaungModern,242_tobacco,ɲa₃,ɲa₃,ɲ a ₃/³³,,VanDam2025,,,^ɲ a ₃$,default,nyac,2024
MuishaungNeedham-243_toe-1,,MuishaungNeedham,243_toe,jɑ.ʃi,jɑ.ʃi,j ɑ + ʃ i,,Needham1897,,,^j ɑ . ʃ i$,default,yâ´shî,1897
MuishaungModern-243_toe-1,,MuishaungModern,243_toe,ʒa₁ʃi₂,ʒa₁ʃi₂,ʒ a ₁/³¹ + ʃ i ₂/²³¹,,VanDam2025,,,^ʒ a ₁ ʃ i ₂$,default,yaz.shix,2024
MuishaungNeedham-244_tongue-1,,MuishaungNeedham,244_tongue,lʌ.li,lʌ.li,l ʌ + l i,,Needham1897,,,^l ʌ . l i$,default,la´lî,1897
MuishaungModern-244_tongue-1,,MuishaungModern,244_tongue,tə₀li₂,tə₀li₂,t ə ₀/⁰ l i ₂/²³¹,,VanDam2025,,,^t ə ₀ l i ₂$,default,tv.lix,2024
MuishaungNeedham-245_tooth-1,,MuishaungNeedham,245_tooth,βɑ,βɑ,β ɑ,,Needham1897,,,^β ɑ$,default,vâ,1897
MuishaungModern-245_tooth-1,,MuishaungModern,245_tooth,βa₃,βa₃,β a ₃/³³,,VanDam2025,,,^β a ₃$,default,wac,2024
MuishaungNeedham-246_touchwood-1,,MuishaungNeedham,246_touchwood,my,my,m y,,Needham1897,,,^m y$,default,mü,1897
MuishaungNeedham-247_trackv-1,,MuishaungNeedham,247_trackv,jyr,jyr,j y r,,Needham1897,,,^j y r$,default,yür,1897
MuishaungModern-247_trackv-1,,MuishaungModern,247_trackv,ʒur₃,ʒur₃,ʒ u r ₃/³³,,VanDam2025,,,^ʒ u r ₃$,default,yurc,2024
MuishaungNeedham-248_true-1,,MuishaungNeedham,248_true,ɑ.sɪŋ,ɑ.sɪŋ,ɑ + s ɪ ŋ,,Needham1897,,,^ɑ . s ɪ ŋ$,default,â´sing,1897
MuishaungModern-248_true-1,,MuishaungModern,248_true,ə₀sɨŋ₁,ə₀sɨŋ₁,ə ₀/⁰ s ɨ ŋ ₁/³¹,,VanDam2025,,,^ə ₀ s ɨ ŋ ₁$,default,v.suingz,2024
MuishaungNeedham-249_tree-1,,MuishaungNeedham,249_tree,pul,pul,p u l,,Needham1897,,,^p u l$,default,pûl,1897
MuishaungModern-249_tree-1,,MuishaungModern,249_tree,pul₂,pul₂,p u l ₂/²³¹,,VanDam2025,,,^p u l ₂$,default,pulx,2024
